fac1;fac2;similitud
6093140;6124547;1
6079425;6124547;1
6092723;6124547;1
6037842;6124547;1
6059709;6124547;1
6063960;6124547;1
6008341;6033046;1
6024715;6033046;1
6032519;6033046;1
6008341;6032055;1
6009460;6032055;1
6019891;6032055;1
6022367;6032055;1
6028664;6032055;1
6024715;6032055;1
6020062;6032055;1
6008334;6032584;1
6007871;6008334;1
6008341;6124384;1
6075627;6124384;1
6089224;6124384;1
6111599;6124384;1
6097620;6124384;1
6092723;6124384;1
6099275;6124384;1
6022367;6124384;1
6063893;6124384;1
6059221;6124384;1
6007871;6124384;1
6105935;6124384;1
6080095;6124384;1
6097663;6124384;1
6059187;6124384;1
6059709;6124384;1
6045566;6124384;1
6063960;6124384;1
6080025;6124384;1
6020062;6124384;1
6055300;6055843;1
6009460;6055843;1
6037842;6055843;1
6042980;6055843;1
6022367;6055843;1
6032055;6055300;1
6008341;6055300;1
6009460;6055300;1
6020062;6055300;1
6032055;6110359;1
6093140;6110359;1
6019891;6110359;1
6056632;6110359;1
6022367;6110359;1
6096057;6110359;1
6068054;6110359;1
6097589;6110359;1
6047437;6110359;1
6097663;6110359;1
6084224;6110359;1
6028664;6110359;1
6080025;6110359;1
6096734;6097218;1
6077329;6097218;1
6037842;6097218;1
6058464;6097218;1
6007871;6097218;1
6032055;6096734;1
6008341;6096734;1
6055300;6096734;1
6089224;6096734;1
6019891;6096734;1
6037842;6096734;1
6096057;6096734;1
6059221;6096734;1
6059187;6096734;1
6080025;6096734;1
6020062;6096734;1
6032055;6093140;1
6032584;6093140;1
6089224;6093140;1
6019891;6093140;1
6056632;6093140;1
6071388;6093140;1
6092723;6093140;1
6037842;6093140;1
6022367;6093140;1
6080095;6093140;1
6084224;6093140;1
6028664;6093140;1
6063960;6093140;1
6080025;6093140;1
6024715;6093140;1
6032519;6093140;1
6008341;6009460;1
6020552;6084067;1
6032055;6105757;1
6032584;6105757;1
6008341;6105757;1
6055300;6105757;1
6096734;6105757;1
6009460;6105757;1
6089224;6105757;1
6097620;6105757;1
6014844;6105757;1
6059221;6105757;1
6068054;6105757;1
6097589;6105757;1
6045566;6105757;1
6080025;6105757;1
6020062;6105757;1
6075627;6077329;1
6075736;6077329;1
6063893;6077329;1
6058464;6077329;1
6007871;6077329;1
6059709;6077329;1
6032519;6077329;1
6033046;6075627;1
6008334;6075627;1
6008341;6075627;1
6037842;6075627;1
6022367;6075627;1
6007871;6075627;1
6059187;6075627;1
6059709;6075627;1
6045566;6075627;1
6063960;6075627;1
6024715;6075627;1
6020062;6075627;1
6032055;6089224;1
6032584;6089224;1
6008334;6089224;1
6055300;6089224;1
6009460;6089224;1
6077329;6089224;1
6075736;6089224;1
6056614;6089224;1
6022367;6089224;1
6007871;6089224;1
6068054;6089224;1
6084224;6089224;1
6059709;6089224;1
6045566;6089224;1
6063960;6089224;1
6032519;6089224;1
6008334;6111599;1
6055843;6111599;1
6009460;6111599;1
6075627;6111599;1
6089224;6111599;1
6097620;6111599;1
6042980;6111599;1
6063893;6111599;1
6059221;6111599;1
6007871;6111599;1
6080095;6111599;1
6097663;6111599;1
6059187;6111599;1
6059709;6111599;1
6045566;6111599;1
6063960;6111599;1
6080025;6111599;1
6020062;6111599;1
6008341;6019891;1
6009460;6019891;1
6008341;6079425;1
6022367;6079425;1
6063960;6079425;1
6008341;6123135;1
6096734;6123135;1
6009460;6123135;1
6043560;6123135;1
6019891;6123135;1
6092723;6123135;1
6099275;6123135;1
6107244;6123135;1
6042980;6123135;1
6056614;6123135;1
6022367;6123135;1
6022214;6123135;1
6096057;6123135;1
6106112;6123135;1
6105935;6123135;1
6075627;6075736;1
6063893;6075736;1
6059709;6075736;1
6063960;6075736;1
6032519;6075736;1
6009460;6056632;1
6019891;6056632;1
6045566;6056632;1
6028664;6056632;1
6024715;6056632;1
6032055;6071388;1
6019891;6071388;1
6056632;6071388;1
6022367;6071388;1
6068054;6071388;1
6047437;6071388;1
6045566;6071388;1
6028664;6071388;1
6033046;6097620;1
6032055;6097620;1
6008334;6097620;1
6055300;6097620;1
6096734;6097620;1
6009460;6097620;1
6079425;6097620;1
6037842;6097620;1
6022367;6097620;1
6063893;6097620;1
6007871;6097620;1
6080095;6097620;1
6059709;6097620;1
6045566;6097620;1
6063960;6097620;1
6024715;6097620;1
6032519;6097620;1
6033046;6092723;1
6032584;6092723;1
6009460;6092723;1
6089224;6092723;1
6019891;6092723;1
6079425;6092723;1
6056614;6092723;1
6022214;6092723;1
6063893;6092723;1
6007871;6092723;1
6068054;6092723;1
6080095;6092723;1
6045566;6092723;1
6080025;6092723;1
6024715;6092723;1
6032519;6092723;1
6020062;6092723;1
6008334;6099275;1
6008341;6099275;1
6075627;6099275;1
6089224;6099275;1
6019891;6099275;1
6079425;6099275;1
6097620;6099275;1
6056614;6099275;1
6063893;6099275;1
6059221;6099275;1
6007871;6099275;1
6047437;6099275;1
6093597;6099275;1
6080095;6099275;1
6097663;6099275;1
6045566;6099275;1
6063960;6099275;1
6080025;6099275;1
6020062;6099275;1
6033046;6037842;1
6008341;6037842;1
6024715;6037842;1
6032519;6037842;1
6055843;6107244;1
6043560;6107244;1
6092723;6107244;1
6099275;6107244;1
6022214;6107244;1
6096057;6107244;1
6105935;6107244;1
6068054;6107244;1
6008341;6042980;1
6022367;6042980;1
6008341;6056614;1
6009460;6056614;1
6043560;6056614;1
6042980;6056614;1
6022367;6056614;1
6022214;6056614;1
6084067;6097988;1
6020552;6097988;1
6008334;6022367;1
6008341;6022367;1
6022214;6022367;1
6007871;6022367;1
6020062;6022367;1
6009460;6022214;1
6008334;6063893;1
6022367;6063893;1
6059221;6063893;1
6007871;6063893;1
6059709;6063893;1
6045566;6063893;1
6028664;6063893;1
6032519;6063893;1
6020062;6063893;1
6032055;6096057;1
6055300;6096057;1
6093140;6096057;1
6019891;6096057;1
6056632;6096057;1
6071388;6096057;1
6056614;6096057;1
6068054;6096057;1
6080095;6096057;1
6084224;6096057;1
6059709;6096057;1
6028664;6096057;1
6080025;6096057;1
6024715;6096057;1
6033046;6059221;1
6032055;6059221;1
6008334;6059221;1
6055300;6059221;1
6009460;6059221;1
6037842;6059221;1
6042488;6059221;1
6022367;6059221;1
6007871;6059221;1
6045566;6059221;1
6024715;6059221;1
6032519;6059221;1
6058632;6059221;1
6007871;6058464;1
6008341;6106112;1
6055843;6106112;1
6009460;6106112;1
6105757;6106112;1
6056632;6106112;1
6042980;6106112;1
6022367;6106112;1
6014844;6106112;1
6084224;6106112;1
6008334;6105935;1
6007907;6105935;1
6043560;6105935;1
6075627;6105935;1
6089224;6105935;1
6097620;6105935;1
6056614;6105935;1
6022214;6105935;1
6063893;6105935;1
6096057;6105935;1
6059221;6105935;1
6007871;6105935;1
6097589;6105935;1
6080095;6105935;1
6097663;6105935;1
6059187;6105935;1
6059709;6105935;1
6045566;6105935;1
6080025;6105935;1
6024715;6105935;1
6020062;6105935;1
6032055;6068054;1
6032584;6068054;1
6019891;6068054;1
6056632;6068054;1
6037842;6068054;1
6022367;6068054;1
6028664;6068054;1
6024715;6068054;1
6020062;6068054;1
6032055;6097589;1
6032584;6097589;1
6007907;6097589;1
6097218;6097589;1
6093140;6097589;1
6077329;6097589;1
6075627;6097589;1
6089224;6097589;1
6019891;6097589;1
6075736;6097589;1
6056632;6097589;1
6071388;6097589;1
6022367;6097589;1
6063893;6097589;1
6096057;6097589;1
6093597;6097589;1
6084224;6097589;1
6059187;6097589;1
6028664;6097589;1
6080025;6097589;1
6032519;6097589;1
6009460;6047437;1
6024715;6047437;1
6032055;6093597;1
6032584;6093597;1
6008341;6093597;1
6077329;6093597;1
6075627;6093597;1
6089224;6093597;1
6019891;6093597;1
6079425;6093597;1
6075736;6093597;1
6056632;6093597;1
6022367;6093597;1
6063893;6093597;1
6080095;6093597;1
6059709;6093597;1
6063960;6093597;1
6032519;6093597;1
6032055;6080095;1
6008334;6080095;1
6077329;6080095;1
6075736;6080095;1
6056632;6080095;1
6071388;6080095;1
6059221;6080095;1
6007871;6080095;1
6068054;6080095;1
6059187;6080095;1
6059709;6080095;1
6045566;6080095;1
6028664;6080095;1
6063960;6080095;1
6024715;6080095;1
6032519;6080095;1
6020062;6080095;1
6032055;6097663;1
6093140;6097663;1
6075627;6097663;1
6089224;6097663;1
6056632;6097663;1
6071388;6097663;1
6097620;6097663;1
6092723;6097663;1
6063893;6097663;1
6096057;6097663;1
6059221;6097663;1
6007871;6097663;1
6097589;6097663;1
6084224;6097663;1
6059709;6097663;1
6045566;6097663;1
6028664;6097663;1
6063960;6097663;1
6024715;6097663;1
6032519;6097663;1
6020062;6097663;1
6032055;6084224;1
6008341;6084224;1
6009460;6084224;1
6019891;6084224;1
6071388;6084224;1
6056614;6084224;1
6068054;6084224;1
6080095;6084224;1
6045566;6084224;1
6028664;6084224;1
6080025;6084224;1
6024715;6084224;1
6033046;6097763;1
6008334;6097763;1
6008341;6097763;1
6075627;6097763;1
6097620;6097763;1
6092723;6097763;1
6037842;6097763;1
6059221;6097763;1
6024715;6097763;1
6032519;6097763;1
6032055;6115200;1
6110359;6115200;1
6093140;6115200;1
6089224;6115200;1
6019891;6115200;1
6056632;6115200;1
6071388;6115200;1
6022367;6115200;1
6068054;6115200;1
6097589;6115200;1
6080095;6115200;1
6097663;6115200;1
6084224;6115200;1
6028664;6115200;1
6080025;6115200;1
6024715;6115200;1
6020062;6115200;1
6032055;6059187;1
6032584;6059187;1
6008334;6059187;1
6055300;6059187;1
6009460;6059187;1
6007871;6059187;1
6045566;6059187;1
6028664;6059187;1
6008334;6059709;1
6008341;6059709;1
6019891;6059709;1
6059221;6059709;1
6007871;6059709;1
6047437;6059709;1
6045566;6059709;1
6020062;6059709;1
6008334;6045566;1
6009460;6045566;1
6014844;6045566;1
6007871;6045566;1
6020062;6045566;1
6009460;6028664;1
6019891;6028664;1
6022367;6028664;1
6024715;6028664;1
6032584;6063960;1
6022367;6063960;1
6063893;6063960;1
6059221;6063960;1
6007871;6063960;1
6059187;6063960;1
6045566;6063960;1
6032519;6063960;1
6020062;6063960;1
6008334;6080025;1
6008341;6080025;1
6055300;6080025;1
6009460;6080025;1
6075627;6080025;1
6019891;6080025;1
6056632;6080025;1
6071388;6080025;1
6063893;6080025;1
6007871;6080025;1
6068054;6080025;1
6059709;6080025;1
6045566;6080025;1
6028664;6080025;1
6063960;6080025;1
6024715;6080025;1
6008341;6024715;1
6007907;6024715;1
6019891;6024715;1
6022367;6024715;1
6008334;6032519;1
6008341;6032519;1
6024715;6032519;1
6042488;6058632;1
6008334;6020062;1
6008341;6020062;1
6007871;6020062;1
6068054;6124547;2
6008334;6124384;2
6071388;6110359;2
6080095;6110359;2
6024715;6110359;2
6009460;6096734;2
6068054;6093140;2
6059187;6105757;2
6009460;6043560;2
6022367;6043560;2
6022214;6043560;2
6063893;6075627;2
6059221;6075627;2
6032519;6075627;2
6008341;6089224;2
6075627;6089224;2
6063893;6089224;2
6059221;6089224;2
6080095;6089224;2
6059187;6089224;2
6080025;6089224;2
6043560;6111599;2
6056614;6111599;2
6022214;6111599;2
6096057;6111599;2
6019891;6079425;2
6059187;6079425;2
6059709;6079425;2
6111599;6123135;2
6032055;6056632;2
6022367;6056632;2
6024715;6071388;2
6008341;6097620;2
6075627;6097620;2
6089224;6097620;2
6092723;6097620;2
6059187;6097620;2
6020062;6097620;2
6008334;6092723;2
6008341;6092723;2
6043560;6092723;2
6037842;6092723;2
6059221;6092723;2
6063960;6092723;2
6009460;6099275;2
6022214;6099275;2
6009460;6107244;2
6042980;6107244;2
6056614;6107244;2
6022367;6107244;2
6009460;6042980;2
6019891;6022367;2
6059187;6063893;2
6043560;6096057;2
6092723;6096057;2
6022214;6096057;2
6008341;6059221;2
6059187;6059221;2
6020062;6059221;2
6045566;6106112;2
6092723;6105935;2
6099275;6105935;2
6022367;6105935;2
6063960;6105935;2
6059187;6068054;2
6068054;6097589;2
6080095;6097589;2
6024715;6097589;2
6008334;6093597;2
6092723;6093597;2
6059187;6093597;2
6075627;6080095;2
6019891;6080095;2
6022367;6080095;2
6063893;6080095;2
6080025;6080095;2
6008334;6097663;2
6019891;6097663;2
6022367;6097663;2
6068054;6097663;2
6080095;6097663;2
6059187;6097663;2
6080025;6097663;2
6056632;6084224;2
6022367;6084224;2
6093597;6097763;2
6092723;6115200;2
6099275;6115200;2
6059709;6115200;2
6019891;6059187;2
6020062;6059187;2
6009460;6059709;2
6022367;6059709;2
6022367;6045566;2
6008334;6063960;2
6059709;6063960;2
6032055;6080025;2
6022367;6080025;2
6059221;6080025;2
6059187;6080025;2
6045566;6058632;2
6009460;6020062;2
6020062;6089224;3
6092723;6111599;3
6099275;6111599;3
6107244;6111599;3
6105935;6111599;3
6059221;6097620;3
6080025;6097620;3
6075627;6092723;3
6022367;6092723;3
6059187;6092723;3
6059709;6092723;3
6043560;6099275;3
6022367;6099275;3
6096057;6099275;3
6059187;6099275;3
6059709;6099275;3
6009460;6096057;3
6022367;6096057;3
6009460;6115200;3
6096057;6115200;3
6008341;6059187;3
6022367;6059187;3
6059187;6059709;3
6020062;6080025;3
6022367;6111599;4
6092723;6099275;4
6009460;6022367;4
